Asset #,Asset Description,Category Description,Sub-Category Description,Status Description,Site,Building,Location,Account Description,Location Description,Manufacturer Name,Model Number,Manufacturer Serial Number,Date Accepted,Cost Basis,Warranty End Date,
1046123,"Aspirators, Emergency",Aspirators,"Aspirators, Emergency",Active,BH,BH,CSR,Bridgepoint,Basement (CSR),Mettler Tolido,XLR8,XP03319,3-30-16 12:00 AM,0.00,3-30-17 12:00 AM,
1046124,"Aspirators, Emergency",Aspirators,"Aspirators, Emergency",Active,BH,BH,CSR,Bridgepoint,Basement (CSR),Mettler Tolido,XLR8,XP03318,3-30-16 12:00 AM,0.00,3-30-17 12:00 AM,
1046125,"Aspirators, Emergency",Aspirators,"Aspirators, Emergency",Active,BH,BH,CSR,Bridgepoint,Basement (CSR),Mettler Tolido,XLR8,XP03316,3-30-16 12:00 AM,0.00,3-30-17 12:00 AM,
1046126,"Aspirators, Emergency",Aspirators,"Aspirators, Emergency",Active,BH,BH,CSR,Bridgepoint,Basement (CSR),Mettler Tolido,XLR8,XP03322,3-30-16 12:00 AM,0.00,3-30-17 12:00 AM,
1046127,"Aspirators, Emergency",Aspirators,"Aspirators, Emergency",Active,BH,BH,CSR,Bridgepoint,Basement (CSR),Mettler Tolido,XLR8,XP03317,3-30-16 12:00 AM,0.00,3-30-17 12:00 AM,
1046133,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Phototherapy Units,"Phototherapy Units, Visible Light, Hyperbilirubinemia",Active,MSH,MSH,17U,NICU,NICU,Bomimed,Bili-Therapy Spot,2640997,2-17-17 12:00 AM,,,
1046186,Air-oxygen Blender,Air-oxygen Blender,Air-oxygen Blender,Active,MSH,MSH,17U,Respiratory Therapy,NICU,Sechrist Industries,3500HL - Air-Oxygen Mixer,H42405,1-1-98 12:00 AM,0.00,1-1-99 12:00 AM,
1046188,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16U,Echocardiography,16th Floor - University Side,Welch Allyn,3400,100007590416,3-6-17 12:00 AM,,1-29-18 12:00 AM,
1046190,"Thermometers, Electronic, Infrared",Thermometers,"Thermometers, Electronic, Infrared",Active,BH,BH,8N,Bridgepoint,8th Floor - North Side,Cardinal Health Canada Inc,Genius 2,N16582502,3-7-17 12:00 AM,,,
1046191,"Thermometers, Electronic, Infrared",Thermometers,"Thermometers, Electronic, Infrared",Active,BH,BH,8N,Bridgepoint,8th Floor - North Side,Cardinal Health Canada Inc,Genius 2,N16583022,3-7-17 12:00 AM,,,
1046195,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16U,Echocardiography,16th Floor - University Side,Welch Allyn,3400,100007710416,3-6-17 12:00 AM,,1-29-18 12:00 AM,
1046196,Computed Tomography (CT),Scanning Systems,"Scanning Systems, Computed Tomography",Active,MSH,MSH,3,JDMI - Ambulatory Radiology,ER,Siemens,SOMATOM Definition Flash CT,74385,3-6-17 12:00 AM,,3-7-18 12:00 AM,
1046197,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,MSH,16U,Echocardiography,16th Floor - University Side,Welch Allyn,3400,100007630416,3-6-17 12:00 AM,,1-29-18 12:00 AM,
1046203,Ultrasound,Scanning Systems,"Scanning Systems, Ultrasonic",Active,MSH,MSH,16U,Echocardiography,1601,GE Healthcare,H45581DA - Vivid E95,AU50790,7-1-16 12:00 AM,0.00,3-9-18 12:00 AM,
1046252,Camera Controller,Camera Controller,Camera Controller,Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),7th Floor - OR,STRYKER CORP,1588AIM,17C508904,3-17-17 12:00 AM,,3-16-18 12:00 AM,
1046257,"Detectors, Blood Flow, Ultrasonic ",SH Detectors ,"Detectors, Blood Flow, Ultrasonic ",Active,MSH,MSH,15U,Obstetrical Suite (L&D),L&D,WALLACH SURGICAL DEVICES INC,L250,2016110019,3-21-17 12:00 AM,,3-21-18 12:00 AM,
1046273,Ultrasound,Scanning Systems,"Scanning Systems, Ultrasonic",Active,MSH,IVF-Dundas,7,IVF Clinic,MSH CFRH 7flr APLIO 300,Canon,TUS-A300/WA - Aplio 300,WAG1722817,3-20-17 12:00 AM,0.00,3-20-18 12:00 AM,
1046274,Ultrasound,Scanning Systems,"Scanning Systems, Ultrasonic",Active,MSH,IVF-Dundas,7,IVF Clinic,MSH CFRH 7flr APLIO 300,Canon,TUS-A300/WA - Aplio 300,WAG1722818,3-20-17 12:00 AM,0.00,3-20-18 12:00 AM,
1046275,Ultrasound,Scanning Systems,"Scanning Systems, Ultrasonic, General-Purpose",Active,MSH,IVF-Dundas,7,IVF Clinic,MSH CFRH 7flr APLIO 300,Canon,TUS-A300/WA - Aplio 300,WAG1722819,3-20-17 12:00 AM,0.00,3-20-18 12:00 AM,
1046276,Ultrasound,Scanning Systems,"Scanning Systems, Ultrasonic, General-Purpose",Active,MSH,IVF-Dundas,7,IVF Clinic,MSH CFRH 7flr APLIO 300,Canon,TUS-A300/WA - Aplio 300,WAG1722820,3-20-17 12:00 AM,0.00,3-20-18 12:00 AM,
1046282,"Cameras, Video, Endoscope",Cameras,"Cameras, Video, Endoscope",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),O.R,STRYKER CORP,1288HD/1288010001,17C514344,3-27-17 12:00 AM,,3-27-18 12:00 AM,
1046286,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 16,CONMED CORP,60-2450-120,17010004,3-29-17 12:00 AM,,3-29-22 12:00 AM,
1046291,"Thermometers, Electronic, Infrared",Thermometers,"Thermometers, Electronic, Infrared",Active,MSH,MSH,11N,Nursing 11N Medicine,11 North ,Cardinal Health Canada Inc,Genius 2,N1660690061,1-22-14 12:00 AM,195.00,1-22-17 12:00 AM,
1046292,"Thermometers, Electronic, Infrared",Thermometers,"Thermometers, Electronic, Infrared",Active,MSH,MSH,11N,Nursing 11N Medicine,11 North ,Cardinal Health Canada Inc,Genius 2,N16607097,1-22-14 12:00 AM,195.00,1-22-17 12:00 AM,
1046293,"Thermometers, Electronic, Infrared",Thermometers,"Thermometers, Electronic, Infrared",Active,MSH,MSH,11N,Nursing 11N Medicine,11 North ,Cardinal Health Canada Inc,Genius 2,N16607135,1-22-14 12:00 AM,195.00,1-22-17 12:00 AM,
1046294,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,1,SURGICAL SUITE (COMBINED WITH CYSTO),Biomed,CONMED CORP,60-2450-120,07LGU026,3-30-17 12:00 AM,,3-30-22 12:00 AM,
1046295,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),7th Floor - OR,CONMED CORP,60-2450-120,17060036,3-30-17 12:00 AM,,3-31-22 12:00 AM,
1046297,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 16,KLS Martin,marVAC LAP,MR402L0300160904,3-30-17 12:00 AM,,,
1046298,Pulse CO-Oximeter Dock,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,17M,Mother & Baby,17th MBU,MASIMO,Radical-7 Dock,282638,3-30-17 12:00 AM,2774.00,9-26-15 12:00 AM,
1046299,Pulse CO-Oximeter Dock,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,17U,Mother & Baby,Mother & Baby Unit ,MASIMO,Radical-7 Dock,282334,3-30-17 12:00 AM,2774.00,9-26-15 12:00 AM,
1046300,Pulse CO-Oximeter Dock,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15U,Nursing 15 Murray/Antenatal,Antenatal Unit ,MASIMO,Radical-7 Dock,282637,3-30-17 12:00 AM,2774.00,9-26-15 12:00 AM,
1046301,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),7th Floor,KLS Martin,marVAC LAP,MR402L0300160828,3-30-17 12:00 AM,,,
1046302,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,17M,Mother & Baby,17th MBU,MASIMO,Radical-7,1000100601,3-30-17 12:00 AM,2774.00,9-26-15 12:00 AM,
1046303,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,17U,NICU,NICU,MASIMO,Radical-7,1000100572,3-30-17 12:00 AM,2774.00,9-26-15 12:00 AM,
1046304,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,17U,Mother & Baby,17th Floor - University Side,MASIMO,Radical-7,1000100493,3-30-17 12:00 AM,2774.00,9-26-15 12:00 AM,
1046305,Pulse CO-Oximeter,Pulse CO-Oximeter,Pulse CO-Oximeter,Active,MSH,MSH,15U,Nursing 15 Murray/Antenatal,15th Floor - University Side,MASIMO,Radical-7,1000100493,3-30-17 12:00 AM,2774.00,9-26-15 12:00 AM,
1046306,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),7th Floor - OR,KLS Martin,marVAC LAP,MR402L0300150525,3-30-17 12:00 AM,,,
1046307,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 19,KLS Martin,marVAC LAP,MR402S0200140254,3-30-17 12:00 AM,,,
1046336,GEM AC Powered Ring Cutting System,GEM AC Powered Ring Cutting System,GEM AC Powered Ring Cutting System,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,"Mooney & Co., Inc",622,7313,4-4-17 12:00 AM,,,
1046337,GEM AC Powered Ring Cutting System,GEM AC Powered Ring Cutting System,GEM AC Powered Ring Cutting System,Active,MSH,MSH,3,Emergency,3rd (Main) Floor,"Mooney & Co., Inc",622,7312,4-4-17 12:00 AM,,,
1046342,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 14,KLS Martin,marVAC LAP,MR402L0301171245,4-5-17 12:00 AM,,4-5-18 12:00 AM,
1046343,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 10,KLS Martin,marVAC LAP,MR402L0302171244,4-5-17 12:00 AM,,,
1046347,"Display Monitor, Flat Panel",Display Monitor,"Display Monitor, Flat Panel",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR,STRYKER CORP,VisionPro,SVP266K0093,4-5-17 12:00 AM,,,
1046348,"Transmitter/Receiver Systems, Telephone",Transmitter/Receiver Systems,"Transmitter/Receiver Systems, Telephone",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR,STRYKER CORP,SYNK Wireless Transmitter,16E011554,4-5-17 12:00 AM,,,
1046376,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 15,KLS Martin,marVAC LAP,MR402L0302171241,4-6-17 12:00 AM,,,
1046381,Ultrasound - POCUS,Scanning Systems,"Scanning Systems, Ultrasonic",Active,MSH,MSH,5,JDMI - Angio/Interventional,,Bard,9770555 - Site-Rite 8,DYBUAD504,4-5-17 12:00 AM,0.00,4-5-18 12:00 AM,
1046393,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 2,KLS Martin,marVAC LAP,MR402L0302171242,4-6-17 12:00 AM,,4-27-18 12:00 AM,
1046395,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),7th Floor - OR,KLS Martin,marVAC LAP,MR402L0302171240,4-6-17 12:00 AM,,4-6-18 12:00 AM,
1046396,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 16,KLS Martin,marVAC LAP,MR402L0302171240,4-6-17 12:00 AM,,4-6-18 12:00 AM,
1046397,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 5,CONMED CORP,60-2450-120,17030022,4-6-17 12:00 AM,,4-6-18 12:00 AM,
1046398,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 15,CONMED CORP,60-2450-120,17030019,4-6-17 12:00 AM,,4-6-18 12:00 AM,
1046399,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 4,CONMED CORP,60-2450-120,17030025,4-6-17 12:00 AM,,4-6-18 12:00 AM,
1046403,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,OPG,3rd Floor,Special Pregnancy Program - Maternal ,SPP,Welch Allyn,74MX-B,100064711217,4-3-17 12:00 AM,,4-10-18 12:00 AM,
1046404,"Monitors, Vital Signs","Monitors, Vital Signs","Monitors, Vital Signs",Active,MSH,OPG,3rd Floor,Special Pregnancy Program - Maternal ,SPP,Welch Allyn,74MX-B,100064721217,4-3-17 12:00 AM,,4-10-18 12:00 AM,
1046406,"Thermometers, Electronic, Infrared",Thermometers,"Thermometers, Electronic, Infrared",Active,BH,BH,CSR,Bridgepoint,Basement (CSR),Cardinal Health Canada Inc,Genius 2,,12-13-16 12:00 AM,0.00,,
1046407,"Infusion Pumps, Patient-Controlled Analgesic",INFUSION PUMPS,"Infusion Pumps, Patient-Controlled Analgesic",Active,BH,BH,4N,Bridgepoint,4th Floor - North Side,SIMS Deltec Ltd.,6300,277103,4-11-17 12:00 AM,,,
1046408,"Infusion Pumps, Patient-Controlled Analgesic",INFUSION PUMPS,"Infusion Pumps, Patient-Controlled Analgesic",Active,BH,BH,10N,Bridgepoint,10th Floor - North Side,SIMS Deltec Ltd.,6300,277104,4-11-17 12:00 AM,,,
1046409,"Transducer, TOCO",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,M2734B,DE01808168,9-15-15 12:00 AM,,,
1046410,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,M1355-60011,DE44901668,4-12-17 12:00 AM,,,
1046411,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,M1355-60011,DE44901554,4-12-17 12:00 AM,,,
1046412,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,M1355-60011,DE45101124,4-12-17 12:00 AM,,,
1046421,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 3,KLS Martin,marVAC LAP,MR402L0302171276,4-12-17 12:00 AM,,4-6-18 12:00 AM,
1046422,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 11,KLS Martin,marVAC LAP,MR402L0302171278,4-12-17 12:00 AM,,4-6-18 12:00 AM,
1046423,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 7,KLS Martin,marVAC LAP,MR402L0302171277,4-12-17 12:00 AM,,4-6-18 12:00 AM,
1046424,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR,KLS Martin,marVAC LAP,MR402L0302171279,4-12-17 12:00 AM,,4-6-18 12:00 AM,
1046429,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45002077,4-12-17 12:00 AM,,,
1046430,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 6,KLS Martin,marVAC LAP,MR402L0302171269,4-12-17 12:00 AM,,,
1046431,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45001469,4-12-17 12:00 AM,,,
1046432,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,866076,DE45002037,4-12-17 12:00 AM,,,
1046433,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 14,KLS Martin,marVAC LAP,MR402L0302171280,4-12-17 12:00 AM,,,
1046438,"Transducer, Fetal Monitoring",Transducer,"Transducer, Fetal Monitoring",Active,MSH,MSH,15U,Obstetrical Suite (L&D),15th Floor - University Side,Philips Healthcare,M2734B,DE43126608,4-12-17 12:00 AM,,,
1046439,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 7,CONMED CORP,60-2450-120,15KGU012,4-12-17 12:00 AM,,4-12-22 12:00 AM,
1046440,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 3,CONMED CORP,60-2450-120,15KGU011,4-12-17 12:00 AM,,4-12-22 12:00 AM,
1046442,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 5,CONMED CORP,60-2450-120,15KGU015,4-12-17 12:00 AM,,4-12-22 12:00 AM,
1046448,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,15U,Obstetrical Suite (L&D),L&D - OR 3,CONMED CORP,60-2450-120,15KGU017,4-13-17 12:00 AM,,4-13-22 12:00 AM,
1046449,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,15U,Obstetrical Suite (L&D),L&D - OR 4,CONMED CORP,60-2450-120,17030017,4-13-17 12:00 AM,,4-13-22 12:00 AM,
1046450,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,15U,Obstetrical Suite (L&D),L&D - OR 2,CONMED CORP,60-2450-120,17030024,4-13-17 12:00 AM,,4-13-22 12:00 AM,
1046451,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 19,CONMED CORP,60-2450-120,17030018,4-13-17 12:00 AM,,4-13-22 12:00 AM,
1046452,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,15U,Obstetrical Suite (L&D),L&D - OR 5,CONMED CORP,60-2450-120,17030023,4-13-17 12:00 AM,,4-13-22 12:00 AM,
1046453,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 17,CONMED CORP,60-2450-120,08DGU033,4-13-17 12:00 AM,,4-13-22 12:00 AM,
1046455,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 1,CONMED CORP,60-2450-120,17030021,4-12-17 12:00 AM,,4-13-22 12:00 AM,
