DeviceID,DeviceType,RiskClass,PurchaseDate,Location,UtilizationRate (hours/day)
D062,Surgical Light,REG,2019-06-08,Gastroenterology,10
D063,Anesthesia Machine,CRITICAL,2015-10-12,Day Surgery,8
D064,Patient Monitor,HIGH,2019-03-27,Day Surgery,10
D065,Surgical Table,LOW,2018-07-16,Day Surgery,8
D066,Dialysis Machine,CRITICAL,2016-09-04,Nephrology,16
D067,Patient Monitor,HIGH,2019-11-13,Nephrology,16
D068,Blood Pressure Monitor,LOW,2020-04-30,Nephrology,16
D069,MRI Scanner,CRITICAL,2013-12-21,Neurology,10
D070,EEG Machine,REG,2018-08-09,Neurology,8
D071,Patient Monitor,HIGH,2019-10-26,Neurology,12
D072,CT Scanner,CRITICAL,2015-05-14,Oncology,12
D073,Linear Accelerator,CRITICAL,2014-02-28,Oncology,10
D074,PET Scanner,CRITICAL,2016-11-07,Oncology,8
D075,Mammography Unit,HIGH,2017-07-23,Women's Health,8
D076,Ultrasound,REG,2019-04-12,Women's Health,10
D077,Patient Monitor,HIGH,2020-02-29,Women's Health,12
D078,Bone Densitometer,REG,2018-12-15,Orthopedics,6
D079,X-Ray Machine,HIGH,2016-05-31,Orthopedics,10
D080,Patient Monitor,HIGH,2019-09-18,Orthopedics,12
D081,Respiratory Function Analyzer,REG,2018-04-07,Pulmonology,8
D082,Patient Monitor,HIGH,2019-11-24,Pulmonology,12
D083,Ventilator,CRITICAL,2017-08-13,Pulmonology,16
D084,Ophthalmoscope,LOW,2020-03-02,Ophthalmology,8
D085,Visual Field Analyzer,REG,2019-06-19,Ophthalmology,6
D086,Surgical Microscope,REG,2017-12-08,Ophthalmology,8
D087,Dental X-Ray,HIGH,2018-09-25,Dental,6
D088,Dental Chair Unit,LOW,2019-05-14,Dental,8
D089,Sterilizer,HIGH,2020-01-31,Central Sterile,24
D090,Washer Disinfector,REG,2019-08-27,Central Sterile,24
D091,Ultrasound,REG,2018-03-16,Sports Medicine,6
D092,Patient Monitor,HIGH,2019-10-03,Sports Medicine,8
D093,ECG Machine,REG,2020-02-20,Sports Medicine,6
D094,X-Ray Machine,HIGH,2017-11-09,Urgent Care,14
D095,Patient Monitor,HIGH,2019-07-28,Urgent Care,16
D096,Defibrillator,CRITICAL,2020-04-15,Urgent Care,24
D097,Ultrasound,REG,2018-12-02,Urgent Care,12
D098,Blood Gas Analyzer,HIGH,2019-05-21,Laboratory,16
D099,Chemistry Analyzer,HIGH,2017-10-10,Laboratory,14
D100,Hematology Analyzer,HIGH,2018-07-05,Laboratory,14
